tick,mean_temp,mean_water,mean_biomass,mean_nutrients,n_flooded,n_herbivores,n_carnivores
24,-9.313353899170965,0.316456253721662,0.10261052076412361,0.49627212042492375,218,50,12
48,-9.30687246536594,0.3973595942670177,0.09906695440396104,0.49155145019876656,607,50,12
72,-9.295948733238191,0.4547329705886915,0.09704469508019088,0.4862202940814331,1079,50,12
96,-9.280585939723261,0.5016225506824719,0.09580637384578705,0.48048197908993817,1500,50,12
120,-9.260788637149659,0.5332156736232732,0.09486066844937088,0.4744677637375288,1883,50,12
144,-9.236562691885423,0.5543767340166821,0.09430784849612878,0.4682979049159053,2033,50,12
168,-9.207915282601393,0.573341092357177,0.09348151862631993,0.46204628057463387,2309,50,12
192,-9.174854898141843,0.5866007219082767,0.09260889972168965,0.4557831850663803,2497,50,12
216,-9.137391335012932,0.59245601441539,0.09142502939328427,0.44954133243548405,2615,50,12
240,-9.095535694476995,0.600712629208914,0.09029615624105375,0.4433336858522477,2680,50,12
264,-9.049300379263745,0.6067752757255346,0.08903801626955275,0.43717250972101845,2783,120,12
288,-8.998699089894277,0.608417751573171,0.0880481445006449,0.4310805130538018,2750,120,12
312,-8.943746820623375,0.6104224947866925,0.08710741535028771,0.42505449943560314,2795,120,12
336,-8.884459854994518,0.6105877880254847,0.08626498967854296,0.4191068381648738,2759,121,12
360,-8.820855761014343,0.6135346149053803,0.08550079366223828,0.41322940844622535,2850,121,12
384,-8.752953385949732,0.6139848359084745,0.08464694062957964,0.4074268817003183,2894,125,12
408,-8.680772850738846,0.6128657620609085,0.08397765155816202,0.401706530199087,2866,127,12
432,-8.604335544032406,0.6150378441750758,0.08329966362589106,0.39607723775303105,2868,129,12
456,-8.523664115853894,0.6147579845847787,0.08253479422037482,0.39053497683634,2915,131,12
480,-8.438782470888283,0.6132065665308428,0.08201615605399572,0.38507045294805176,2851,129,12
504,-8.349715761400219,0.6131046885816555,0.081508544447404,0.37968793176709037,2767,124,24
528,-8.256490379776237,0.614531082824165,0.08084129312893508,0.37440491650207697,2854,131,24
552,-8.159133950709212,0.6151095337778626,0.08022116637242245,0.3692171186594288,2886,136,24
576,-8.057675323011647,0.6144891210805734,0.07989779407458848,0.3641197390035015,2807,139,24
600,-7.952144561062783,0.6130977912930814,0.07978201613536622,0.3590779140192829,2886,140,24
624,-7.84257293590585,0.612429382066967,0.07964330155029291,0.3540740518131606,2854,144,24
648,-7.728992915978072,0.612144627921089,0.07968219227932412,0.3491343620383218,2846,149,24
672,-7.611438157490609,0.6129348070497794,0.08009266943370348,0.34426599100281147,2848,151,24
696,-7.489943494455176,0.6150348729194479,0.08063613193662415,0.33945576070902794,2895,153,24
720,-7.364544928362637,0.613556046919924,0.08135039372978364,0.3346954005815505,2874,153,24
744,-7.235279617514295,0.61579012696053,0.0821620825382127,0.3299891562388745,2913,155,24
768,-7.102185866011956,0.6149200975103201,0.0830813810929244,0.32534513907651536,2903,159,24
792,-6.965303112406173,0.6159807393484285,0.08439293890950576,0.3207503408871194,2905,160,24
816,-6.824671918011194,0.6146775020051792,0.08584708807480304,0.31620357334128474,2857,162,24
840,-6.680333954884655,0.6145961317477492,0.08742187035073606,0.3117058420439369,2835,164,24
864,-6.5323319934807484,0.6151964511827619,0.08891945293191397,0.30731286185961104,2889,168,24
888,-6.380709889974495,0.6166384132003717,0.0906696736533587,0.3029352605501697,2863,170,24
912,-6.225512573267181,0.6163595042160745,0.09278609653515107,0.2986006173096985,2912,170,24
936,-6.066786031673448,0.6164983276572371,0.0951328513566527,0.2943210930872125,2913,172,24
960,-5.904577299293329,0.614787717568281,0.09761766545708929,0.2900986976553993,2908,175,24
984,-5.738934442074635,0.617797648645068,0.09991699272421313,0.28593642729687746,2940,185,27
1008,-5.569906543570844,0.6178241041251867,0.1027117237762034,0.281806077001887,2913,172,44
1032,-5.397543690396112,0.6167691177936433,0.10593740694997311,0.2777279195200743,2885,172,47
1056,-5.221896957384021,0.6149625236657981,0.10952462262765247,0.2737019612246401,2879,173,48
1080,-5.043018392452214,0.617011405208973,0.11322401104924483,0.2697223774726906,2948,175,48
1104,-4.8609610011802085,0.614225821599956,0.11663108167300193,0.2657983592578024,2834,187,48
1128,-4.6757787311018735,0.614408293412171,0.12093297527581796,0.26188266508939256,2900,198,48
1152,-4.487526455720437,0.6145177029674103,0.1252885264589498,0.25808335142711264,2924,201,48
1176,-4.2962599582479255,0.6138131400669853,0.13010437840556618,0.25431164517479715,2940,205,48
1200,-4.1020359150752865,0.6142661872355237,0.13490680073182462,0.2505871003852506,2926,216,48
1224,-3.9049118789786736,0.61351483754106,0.139993838306158,0.24683994367690879,2903,233,48
1248,-3.7049462620637468,0.6130497237889607,0.1460738452523948,0.24316962344058735,2905,237,48
1272,-3.5021983184586016,0.6133649197668688,0.1519986664417177,0.23955216302350704,2882,253,48
1296,-3.296728126754606,0.6133018603512509,0.1592855947700954,0.2359157573639613,2889,255,48
1320,-3.0885965722039828,0.6127790483060183,0.1670150903434359,0.23227813752327592,2881,261,48
1344,-2.8778653286782134,0.6124957815948254,0.17526676926050086,0.22870251890833224,2866,270,48
1368,-2.6645968403926394,0.6127252495877856,0.18371265457867217,0.22516479147239699,2829,285,48
1392,-2.448854303402953,0.6130850268788648,0.19295920473497002,0.2217105082037353,2887,298,48
1416,-2.230701646879349,0.6124134186925435,0.20269414879761374,0.21836507125693433,2832,310,48
1440,-2.010203514161607,0.6114556147581407,0.21427314065186437,0.21495269929606406,2767,321,48
1464,-1.7874252436055231,0.6118064223846909,0.2273463406534899,0.21155605351233248,2831,336,48
1488,-1.5624328492205177,0.611435042017181,0.24124942919428155,0.2083344295682151,2822,362,48
1512,-1.335293001108715,0.6101053787700101,0.25820480000885426,0.20521000681264154,2820,373,50
1536,-1.1060730057091188,0.612852023680151,0.27777787005274684,0.20227416868018255,2864,366,72
1560,-0.8748407858536306,0.6121066548055208,0.3013300025661792,0.1995983310707121,2912,363,91
1584,-0.6416648606390727,0.611376892146375,0.32823928687421583,0.19719120487194883,2805,387,94
1608,-0.40661432512466134,0.6119518029437632,0.3591384963413899,0.19530672834544688,2838,425,96
1632,-0.169758829856784,0.6142701218143467,0.39474347155247835,0.194244919261622,2942,450,96
1656,0.06883143976956414,0.6141707275248136,0.4330761224952703,0.19406744975806092,2998,464,96
1680,0.30908578430825234,0.6149460491985573,0.47264407681060683,0.19477760942369218,2952,493,96
1704,0.5509330112119324,0.6131312497252507,0.5136657883181192,0.1963091165441595,2926,526,96
1728,0.7943014559277161,0.6135127301146531,0.5545418506881179,0.1987664754251292,2935,568,96
1752,1.0391190031331947,0.6124928591214105,0.5930708498648533,0.2021430118364044,2885,606,96
1776,1.285313108105425,0.6095012605110475,0.6287756378004904,0.20617082987290222,2856,667,96
1800,1.532810818217871,0.6105846988602747,0.6627764779962279,0.21068148708120307,2814,702,96
1824,1.7815387945576706,0.6105412560807255,0.6935903507710331,0.21576030494593998,2836,758,96
1848,2.031423333657362,0.6107591634195199,0.7207996545761495,0.22144003206574425,2840,828,96
1872,2.2823903893348745,0.6120747930957025,0.7454870272097038,0.22757837606602638,2830,883,96
1896,4.534365594635756,0.6113468768314444,0.7707167955479662,0.23387570130544977,2835,956,96
1920,21.787274283867667,0.5956495381445656,0.7861615045091271,0.2407541606363794,2707,1070,96
1944,22.041041514729447,0.5886641653662151,0.8009314413163755,0.24749440310042883,2655,1164,96
1968,22.295592090511782,0.583587316213613,0.8134834812892817,0.2540499526544327,2574,1279,96
1992,22.550850582386822,0.5771932085737422,0.8275484099665926,0.2603243201479693,2414,1356,96
2016,22.806741351755807,0.5754727765794377,0.84045055806904,0.26649571242784154,2403,1448,96
2040,23.063188572657214,0.573751391436139,0.8504223386285048,0.2727443533923737,2433,1540,96
2064,23.320116254248127,0.5692447687212231,0.8609777382192911,0.2790314432497661,2336,1599,125
2088,23.577448263310263,0.5683491635448926,0.8705624552429481,0.2856411855512688,2384,1654,164
2112,23.83510834681598,0.567654853193029,0.8787486219913624,0.29211936194391463,2369,1726,189
2136,24.093020154522666,0.5652311172734236,0.884842974178405,0.29835481317517853,2280,1837,192
2160,24.351107261593736,0.5646063153913341,0.8936823601782046,0.304617833619304,2320,1918,192
2184,24.60929319125022,0.5622816103570694,0.902097695070729,0.31118315496666865,2298,1986,192
